iteration,operator,destroy_operator,repair_operator,accepted,temperature,route_count,current_route_count,hard_violations,weighted_tardiness,makespan_s,energy_kwh,current_hard_violations,current_weighted_tardiness,current_makespan_s,current_energy_kwh,destroy_weights,repair_weights
24,alns,worst_routes,regret2,False,1248977.938108061,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
25,alns,random_routes,greedy,False,1236488.1587269804,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
26,alns,worst_routes,greedy,False,1224123.2771397107,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
27,alns,related_routes,greedy,False,1211882.0443683136,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
28,alns,worst_routes,regret2,False,1199763.2239246306,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
29,alns,worst_routes,greedy,False,1187765.5916853843,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
30,alns,worst_routes,regret2,False,1175887.9357685305,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.720,related_routes=0.740,worst_routes=0.640","greedy=0.680,regret2=0.667"
31,alns,related_routes,regret2,False,1164129.0564108451,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
32,alns,related_routes,greedy,False,1152487.7658467367,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
33,alns,random_routes,greedy,False,1140962.8881882695,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
34,alns,related_routes,regret2,False,1129553.2593063868,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
35,alns,related_routes,regret2,False,1118257.726713323,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
36,alns,random_routes,greedy,False,1107075.1494461899,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
37,alns,related_routes,greedy,False,1096004.397951728,21,17,0,186162.1244996922,11420.94204181823,73.38751908596429,0,770360.7551713195,12717.726949392787,71.13433660081378,"random_routes=0.576,related_routes=0.592,worst_routes=0.512","greedy=0.544,regret2=0.533"
